group	name	id	model_size	seed	min_steps	max_steps	total_steps	selected
pythia-410m_a1w24wox	ip-10-0-214-225-0	yarlh2xi	410m	6	63001	75835	12835	False
pythia-410m_efe52snc	ip-10-0-209-77-0	tkac5o5c	410m	6	75001	104892	29892	False
pythia-410m_sq338hax	ip-10-0-193-57-0	on4ltenu	410m	6	104001	143000	39000	False
pythia-410m_77h7lh43	ip-10-0-213-18-0	y5vynjt0	410m	7	1	399	399	False
pythia-410m_nv5mgqdk	ip-10-0-221-148-0	g69xbvy2	410m	7	1	18000	18000	False
pythia-410m_1ffzgnos	ip-10-0-228-32-0	gmag46lz	410m	7	257	381	125	False
pythia-410m_9nj2qkzo	ip-10-0-204-193-0	c18g72d5	410m	7	257	44907	44651	False
pythia-410m_riis14yf	ip-10-0-200-113-0	5emwru4k	410m	7	44001	53341	9341	False
pythia-410m_729tui03	ip-10-0-208-50-0	g31me0z9	410m	7	53001	53038	38	False
pythia-410m_osb1h0sz	ip-10-0-216-85-0	upbii6sg	410m	7	53001	58108	5108	False
pythia-410m_s594sz6z	ip-10-0-209-77-0	nxi1if4p	410m	8	1	666	666	False
pythia-410m_ptkhtjwt	ip-10-0-194-0-0	9wj4fjhn	410m	8	513	1666	1154	False
pythia-410m_pzg73g03	ip-10-0-224-187-0	xz4kp9er	410m	8	1001	2252	1252	False
pythia-410m_ki54mu0y	ip-10-0-193-57-0	pwxct54i	410m	8	2001	23026	21026	False
pythia-410m_ppqcf1ek	ip-10-0-203-111-0	uo9m88ad	410m	8	23001	29392	6392	False
pythia-410m_3mvy44xs	ip-10-0-214-225-0	t7rz7cxy	410m	8	29001	29376	376	False
pythia-410m_gyi4vcy4	ip-10-0-243-103-0	zye74do4	410m	8	29001	39344	10344	False
pythia-410m_z53tlacc	ip-10-0-247-109-0	tmcz2ibi	410m	8	39001	74999	35999	False
pythia-410m_0l31bi26	ip-10-0-243-136-0	5tksbvsg	410m	8	75001	75078	78	False
pythia-410m_aqzw48o3	ip-10-0-193-57-0	qzbgnom2	410m	8	75001	90380	15380	False
pythia-410m_q92u8nuk	ip-10-0-217-169-0	fv6vcsru	410m	8	90001	143000	53000	False
pythia-410m_ig3o9b3y	ip-10-0-213-18-0	ld5fn3cu	410m	9	1	2551	2551	False
pythia-410m_dbpph7ip	ip-10-0-203-111-0	vrqk1cm7	410m	9	2001	6024	4024	False
pythia-410m_kwvwush6	ip-10-0-214-225-0	vfcvm1fv	410m	9	6001	29139	23139	False
pythia-410m_fwn8xhfz	ip-10-0-242-122-0	wotpq6i9	410m	9	29001	39999	10999	False
pythia-410m_cwy1esxy	ip-10-0-202-154-0	lpe52cjt	410m	9	40001	73047	33047	False
pythia-410m_626qa1ay	ip-10-0-209-150-0	sh27r6kv	410m	9	73001	92813	19813	False
pythia-410m_243g6pf6	ip-10-0-248-222-0	yhyt1uap	410m	9	92001	143000	51000	False
pythia-70m_t7eqp6ap_y050qzg9	ip-26-0-144-164-0	ce4uznhg	70m	1	1	1160	1160	False
pythia-70m_n21sfp5b	ip-10-0-229-135-0	jzi01nuy	70m	1	1	143000	143000	True
pythia-70m_ks5ej680	ip-26-0-144-140-0	sm56qsnz	70m	1	1	143000	143000	True
pythia-70m_fk2wl2t3	ip-26-0-145-145-0	u75qai4l	70m	1	33	178	146	False
pythia-70m_l0x7gmk1	ip-26-0-145-145-0	selq44aa	70m	1	129	13000	12872	False
pythia-70m_f3f0o5aq_mj1ye4q6	ip-26-0-144-164-0	j3qq87xk	70m	1	1001	2610	1610	False
pythia-70m_8q8aisw5_nf07aewv	ip-26-0-146-175-0	v69a9sn3	70m	2	1	1160	1160	False
pythia-70m_v6wmrj2u	ip-26-0-151-39-0	npycyq0w	70m	2	1	95722	95722	False
pythia-70m_b4ollid6	ip-10-0-232-68-0	i60750mk	70m	2	1	143000	143000	True
pythia-70m_rk7ayzq3	ip-26-0-145-68-0	gunqayk2	70m	2	95001	143000	48000	False
pythia-70m_4skza2nl	ip-10-0-232-68-0	jbbbzp6s	70m	3	1	67769	67769	False
pythia-70m_017w6lbn	ip-26-0-147-26-0	0ydn3v9s	70m	3	1	143000	143000	True
pythia-70m_coubrav3	ip-10-0-241-124-0	50p6gk7r	70m	3	67001	143000	76000	False
pythia-70m_mrbccn3n	ip-10-0-204-193-0	j4rshsh6	70m	4	1	59324	59324	False
pythia-70m_jzruj3ew	ip-26-0-147-26-0	8diojab5	70m	4	1	143000	143000	True
pythia-70m_u36ldt2p	ip-10-0-241-124-0	2aqefqnj	70m	4	59001	143000	84000	False
pythia-70m_h6i8rpa2	ip-10-0-222-35-0	ijum2tox	70m	5	1	114498	114498	False
pythia-70m_evuf8jmm	ip-10-0-248-222-0	61io4o22	70m	5	1	128758	128758	False
pythia-70m_vrkas6zh	ip-10-0-222-35-0	225n4ps1	70m	5	114001	143000	29000	False
pythia-70m_p0jwf2vk	ip-10-0-193-57-0	ipfi7s4u	70m	5	128001	143000	15000	False
pythia-70m_iq71a698	ip-10-0-243-103-0	24mvvqee	70m	6	1	3	3	False
pythia-70m_ir0iuhn7	ip-10-0-231-86-0	bl48tec1	70m	6	1	129588	129588	False
pythia-70m_tuw62o15	ip-10-0-241-124-0	3ha5unly	70m	6	5	93015	93011	False
pythia-70m_venq9wif	ip-10-0-241-124-0	wcc84kv9	70m	6	93001	95022	2022	False
pythia-70m_92qy03qz	ip-10-0-241-124-0	14gk4quk	70m	6	95001	143000	48000	False
pythia-70m_cv1wxp2e	ip-10-0-249-101-0	45ocvxbz	70m	6	129001	143000	14000	False
pythia-70m_esxjgtq6	ip-10-0-228-32-0	qtqpztw7	70m	7	1	15	15	False
pythia-70m_14i55r7e	ip-10-0-231-1-0	2o83fiba	70m	7	1	255	255	False
pythia-70m_9w9bjczc	ip-10-0-249-101-0	gh0spdl1	70m	7	17	105999	105983	False
