step,train/lm_loss
0,2.461717367172241
1,2.4644408226013184
2,2.544607639312744
3,2.470116138458252
4,2.504105567932129
5,2.5264477729797363
6,2.5084657669067383
7,2.495170831680298
8,2.5151278972625732
9,2.5088577270507812
10,2.484673023223877
11,2.4580957889556885
12,2.5032591819763184
13,2.486745595932007
14,2.4805076122283936
15,2.506010055541992
16,2.4738898277282715
17,2.4949264526367188
18,2.4799699783325195
19,2.4790494441986084
20,2.4706521034240723
21,2.442275047302246
22,2.4893245697021484
23,2.475801944732666
24,2.491600275039673
25,2.4955105781555176
26,2.4875402450561523
27,2.4614439010620117
28,2.5433292388916016
29,2.486917734146118
30,2.5195868015289307
31,2.49971342086792
32,2.478761911392212
33,2.4751453399658203
34,2.491403341293335
35,2.5036184787750244
36,2.498584032058716
37,2.474956512451172
38,2.477792739868164
39,2.484971523284912
40,2.5266919136047363
41,2.5061769485473633
42,2.481919288635254
43,2.5261850357055664
44,2.5128281116485596
45,2.512516498565674
46,2.512749195098877
47,2.4941892623901367
48,2.441434860229492
49,2.50834584236145
50,2.474942445755005
51,2.4572653770446777
52,2.508227825164795
53,2.490341901779175
54,2.501358985900879
55,2.484109401702881
56,2.4779372215270996
57,2.531613349914551
58,2.4832122325897217
59,2.5066492557525635
60,2.4751546382904053
61,2.476576089859009
62,2.499375820159912
63,2.4931585788726807
64,2.4750237464904785
65,2.481720447540283
66,2.502041816711426
67,2.4597082138061523
68,2.4534173011779785
69,2.4516143798828125
70,2.504697322845459
71,2.4956729412078857
72,2.4982917308807373
73,2.501002311706543
74,2.4631004333496094
75,2.4902215003967285
76,2.512495994567871
77,2.517131805419922
78,2.4785315990448
79,2.5047709941864014
80,2.487640380859375
81,2.5111465454101562
82,2.463132858276367
83,2.4908909797668457
84,2.5055463314056396
85,2.494469165802002
86,2.461014747619629
87,2.493546485900879
88,2.4974963665008545
89,2.4618308544158936
90,2.4728169441223145
91,2.45635986328125
92,2.5082271099090576
93,2.48360276222229
94,2.4843058586120605
95,2.500972032546997
96,2.5142617225646973
97,2.466726064682007
98,2.490939140319824
99,2.5032200813293457
100,2.4911153316497803
101,2.503006935119629
102,2.4651124477386475
103,2.484005928039551
104,2.5075016021728516
105,2.5342979431152344
106,2.512316942214966
107,2.486062526702881
108,2.5000834465026855
109,2.5133767127990723
110,2.4701385498046875
111,2.4994750022888184
112,2.4565589427948
113,2.466705799102783
114,2.494558811187744
115,2.534614324569702
116,2.4828274250030518
117,2.460561513900757
118,2.506737232208252
119,2.5030605792999268
120,2.488248825073242
121,2.477426052093506
122,2.4703588485717773
123,2.498307228088379
124,2.492267370223999
125,2.5215370655059814
126,2.475975513458252
127,2.50651216506958
128,2.4636647701263428
129,2.541717052459717
130,2.4813740253448486
131,2.485475778579712
132,2.4808521270751953
133,2.4606666564941406
134,2.5021674633026123
135,2.4679298400878906
136,2.5079164505004883
137,2.4623422622680664
138,2.4828624725341797
139,2.5003318786621094
140,2.4811973571777344
141,2.47963285446167
142,2.479445457458496
143,2.5136656761169434
144,2.453774929046631
145,2.4773778915405273
146,2.4909138679504395
147,2.513408660888672
148,2.4937446117401123
149,2.4844911098480225
150,2.506751537322998
151,2.495466709136963
152,2.5014071464538574
153,2.532484769821167
154,2.5244572162628174
155,2.4747838973999023
156,2.4915733337402344
157,2.4825077056884766
158,2.4999749660491943
159,2.466947317123413
160,2.498838424682617
161,2.517622947692871
162,2.4803378582000732
163,2.554980754852295
164,2.4803624153137207
165,2.48526668548584
166,2.5073180198669434
167,2.5121519565582275
168,2.497629404067993
169,2.4669032096862793
170,2.490896463394165
171,2.508610486984253
172,2.4827075004577637
173,2.4810643196105957
174,2.47029709815979
175,2.4583044052124023
176,2.5317134857177734
177,2.4958009719848633
178,2.5044445991516113
179,2.4744231700897217
180,2.43503475189209
181,2.475087881088257
182,2.4859280586242676
183,2.4698503017425537
184,2.478721857070923
185,2.4562876224517822
186,2.50343656539917
187,2.4875545501708984
188,2.4950313568115234
189,2.4728658199310303
190,2.5102148056030273
191,2.460146427154541
192,2.473039388656616
193,2.497119426727295
194,2.5106759071350098
195,2.5095226764678955
196,2.4952878952026367
197,2.4573769569396973
198,2.5014495849609375
199,2.500302791595459
200,2.5041663646698
201,2.4902520179748535
202,2.456758499145508
203,2.495004415512085
204,2.4937987327575684
205,2.492886543273926
206,2.4990546703338623
207,2.4613819122314453
208,2.467247724533081
209,2.4372940063476562
210,2.4799513816833496
211,2.5034661293029785
212,2.5404653549194336
213,2.492588996887207
214,2.5241122245788574
215,2.5044288635253906
216,2.4914329051971436
217,2.489962339401245
218,2.511280059814453
219,2.5092334747314453
220,2.4988555908203125
221,2.4989469051361084
222,2.4810750484466553
223,2.488095760345459
224,2.5062127113342285
225,2.453899383544922
226,2.4694395065307617
227,2.502594470977783
228,2.507035255432129
229,2.4772393703460693
230,2.490372657775879
231,2.46471905708313
232,2.4779181480407715
233,2.5079307556152344
234,2.465437173843384
235,2.484377384185791
236,2.519256114959717
237,2.510772228240967
238,2.532482385635376
239,2.4833054542541504
240,2.4688801765441895
241,2.490194797515869
242,2.51531982421875
243,2.475374460220337
244,2.492770195007324
245,2.5122780799865723
246,2.4810707569122314
247,2.4786665439605713
248,2.5184013843536377
249,2.491781711578369
250,2.5280752182006836
251,2.4562320709228516
252,2.4398176670074463
253,2.495966672897339
254,2.448192596435547
255,2.510535717010498
256,2.461613655090332
257,2.4914064407348633
258,2.506040334701538
259,2.471132755279541
260,2.4666810035705566
261,2.5066466331481934
262,2.526458978652954
263,2.486233711242676
264,2.5180556774139404
265,2.452787399291992
