	score	state	step	seed	group
128	1.0204045251259926	4	83000	4	[3, 4]
129	1.0506915283771079	4	93000	4	[3, 4]
130	1.065273068386303	4	103000	4	[3, 4]
131	1.0578653134788938	4	113000	4	[3, 4]
132	-1.0137058583973773	0	123000	4	[3, 4]
133	0.022723106810822707	0	133000	4	[3, 4]
134	0.22710477070400917	0	143000	4	[3, 4]
135	-1.079075651067257	0	0	5	[0, 1, 2, 5, 6, 7, 8, 9]
136	-1.079075651067257	0	1	5	[0, 1, 2, 5, 6, 7, 8, 9]
137	-1.0973291789872839	0	2	5	[0, 1, 2, 5, 6, 7, 8, 9]
138	-1.0695911693377995	0	4	5	[0, 1, 2, 5, 6, 7, 8, 9]
139	-1.1011136243209225	0	8	5	[0, 1, 2, 5, 6, 7, 8, 9]
140	-1.1419330684443447	0	16	5	[0, 1, 2, 5, 6, 7, 8, 9]
141	-1.1316317086827588	0	32	5	[0, 1, 2, 5, 6, 7, 8, 9]
142	-1.1156284639209175	0	64	5	[0, 1, 2, 5, 6, 7, 8, 9]
143	-1.1481549999162204	0	128	5	[0, 1, 2, 5, 6, 7, 8, 9]
144	-1.1462062205803656	0	256	5	[0, 1, 2, 5, 6, 7, 8, 9]
145	-1.0624496479543346	0	512	5	[0, 1, 2, 5, 6, 7, 8, 9]
146	-0.7266517948758981	0	1000	5	[0, 1, 2, 5, 6, 7, 8, 9]
147	0.16927799941184307	0	3000	5	[0, 1, 2, 5, 6, 7, 8, 9]
148	0.7229390638813924	1	13000	5	[0, 1, 2, 5, 6, 7, 8, 9]
149	0.803109221021231	1	23000	5	[0, 1, 2, 5, 6, 7, 8, 9]
150	0.8161325356728487	2	33000	5	[0, 1, 2, 5, 6, 7, 8, 9]
151	0.9491518621007732	2	43000	5	[0, 1, 2, 5, 6, 7, 8, 9]
152	0.9115586810314023	2	53000	5	[0, 1, 2, 5, 6, 7, 8, 9]
153	0.9025713657729466	2	63000	5	[0, 1, 2, 5, 6, 7, 8, 9]
154	0.9866477031613063	3	73000	5	[0, 1, 2, 5, 6, 7, 8, 9]
155	1.0181583649149557	3	83000	5	[0, 1, 2, 5, 6, 7, 8, 9]
156	0.9931068358341139	3	93000	5	[0, 1, 2, 5, 6, 7, 8, 9]
157	0.957181675927242	3	103000	5	[0, 1, 2, 5, 6, 7, 8, 9]
158	1.0403147582084915	4	113000	5	[0, 1, 2, 5, 6, 7, 8, 9]
159	1.0191225378368203	4	123000	5	[0, 1, 2, 5, 6, 7, 8, 9]
160	1.0214888804874478	4	133000	5	[0, 1, 2, 5, 6, 7, 8, 9]
161	1.0372976996877792	4	143000	5	[0, 1, 2, 5, 6, 7, 8, 9]
162	-1.130423000305293	0	0	6	[0, 1, 2, 5, 6, 7, 8, 9]
163	-1.130423000305293	0	1	6	[0, 1, 2, 5, 6, 7, 8, 9]
164	-1.1321780557948378	0	2	6	[0, 1, 2, 5, 6, 7, 8, 9]
165	-1.1255929933729547	0	4	6	[0, 1, 2, 5, 6, 7, 8, 9]
166	-1.123274851829941	0	8	6	[0, 1, 2, 5, 6, 7, 8, 9]
167	-1.146900824134255	0	16	6	[0, 1, 2, 5, 6, 7, 8, 9]
168	-1.1572308061333216	0	32	6	[0, 1, 2, 5, 6, 7, 8, 9]
169	-1.1417821717286258	0	64	6	[0, 1, 2, 5, 6, 7, 8, 9]
170	-1.1140668426685774	0	128	6	[0, 1, 2, 5, 6, 7, 8, 9]
171	-1.094334838052729	0	256	6	[0, 1, 2, 5, 6, 7, 8, 9]
172	-1.014299051644745	0	512	6	[0, 1, 2, 5, 6, 7, 8, 9]
173	-0.7717239740458797	0	1000	6	[0, 1, 2, 5, 6, 7, 8, 9]
174	0.1548445833335375	0	3000	6	[0, 1, 2, 5, 6, 7, 8, 9]
175	0.7135390797725627	1	13000	6	[0, 1, 2, 5, 6, 7, 8, 9]
176	0.801503357615241	1	23000	6	[0, 1, 2, 5, 6, 7, 8, 9]
177	0.8738860056895675	2	33000	6	[0, 1, 2, 5, 6, 7, 8, 9]
178	0.9075171774334743	2	43000	6	[0, 1, 2, 5, 6, 7, 8, 9]
179	1.0026427801468114	2	53000	6	[0, 1, 2, 5, 6, 7, 8, 9]
180	0.9512406507923853	2	63000	6	[0, 1, 2, 5, 6, 7, 8, 9]
181	1.0598569399662539	2	73000	6	[0, 1, 2, 5, 6, 7, 8, 9]
182	1.0213204063673578	3	83000	6	[0, 1, 2, 5, 6, 7, 8, 9]
183	1.0505164542792238	3	93000	6	[0, 1, 2, 5, 6, 7, 8, 9]
184	1.0452816636445788	3	103000	6	[0, 1, 2, 5, 6, 7, 8, 9]
185	1.0548441152334074	3	113000	6	[0, 1, 2, 5, 6, 7, 8, 9]
186	1.0641737459908445	4	123000	6	[0, 1, 2, 5, 6, 7, 8, 9]
187	1.070974383432359	4	133000	6	[0, 1, 2, 5, 6, 7, 8, 9]
188	1.0650158410884238	4	143000	6	[0, 1, 2, 5, 6, 7, 8, 9]
189	-1.1506172276995867	0	0	7	[0, 1, 2, 5, 6, 7, 8, 9]
190	-1.1506172276995867	0	1	7	[0, 1, 2, 5, 6, 7, 8, 9]
191	-1.1439168075004607	0	2	7	[0, 1, 2, 5, 6, 7, 8, 9]
192	-1.145805914538704	0	4	7	[0, 1, 2, 5, 6, 7, 8, 9]
193	-1.1019840496191389	0	8	7	[0, 1, 2, 5, 6, 7, 8, 9]
194	-1.0856298468124876	0	16	7	[0, 1, 2, 5, 6, 7, 8, 9]
195	-1.106498241610407	0	32	7	[0, 1, 2, 5, 6, 7, 8, 9]
196	-1.1015177337970852	0	64	7	[0, 1, 2, 5, 6, 7, 8, 9]
197	-1.1056508927363617	0	128	7	[0, 1, 2, 5, 6, 7, 8, 9]
198	-1.1196931852571517	0	256	7	[0, 1, 2, 5, 6, 7, 8, 9]
199	-1.0467556972673044	0	512	7	[0, 1, 2, 5, 6, 7, 8, 9]
200	-0.7570077501998761	0	1000	7	[0, 1, 2, 5, 6, 7, 8, 9]
201	0.06118914802736776	0	3000	7	[0, 1, 2, 5, 6, 7, 8, 9]
202	0.6500785616511009	1	13000	7	[0, 1, 2, 5, 6, 7, 8, 9]
203	0.8029440804619947	1	23000	7	[0, 1, 2, 5, 6, 7, 8, 9]
204	0.9426213685477859	2	33000	7	[0, 1, 2, 5, 6, 7, 8, 9]
205	0.921860265410049	2	43000	7	[0, 1, 2, 5, 6, 7, 8, 9]
206	0.9667631063302804	2	53000	7	[0, 1, 2, 5, 6, 7, 8, 9]
207	0.9222985613791905	2	63000	7	[0, 1, 2, 5, 6, 7, 8, 9]
208	0.9749843109446865	2	73000	7	[0, 1, 2, 5, 6, 7, 8, 9]
209	0.9848251899316742	3	83000	7	[0, 1, 2, 5, 6, 7, 8, 9]
210	1.032667788798077	3	93000	7	[0, 1, 2, 5, 6, 7, 8, 9]
211	0.9972581533496598	3	103000	7	[0, 1, 2, 5, 6, 7, 8, 9]
212	1.0709833642221451	4	113000	7	[0, 1, 2, 5, 6, 7, 8, 9]
213	1.0576583394420163	4	123000	7	[0, 1, 2, 5, 6, 7, 8, 9]
214	1.0849712013241581	4	133000	7	[0, 1, 2, 5, 6, 7, 8, 9]
215	1.075196673984468	4	143000	7	[0, 1, 2, 5, 6, 7, 8, 9]
216	-1.0709399771376373	0	0	8	[0, 1, 2, 5, 6, 7, 8, 9]
217	-1.0687229884787552	0	1	8	[0, 1, 2, 5, 6, 7, 8, 9]
218	-1.0798079317731655	0	2	8	[0, 1, 2, 5, 6, 7, 8, 9]
219	-1.0769187305407226	0	4	8	[0, 1, 2, 5, 6, 7, 8, 9]
220	-1.0683786575258325	0	8	8	[0, 1, 2, 5, 6, 7, 8, 9]
221	-1.1836123239561152	0	16	8	[0, 1, 2, 5, 6, 7, 8, 9]
222	-1.1696360412157176	0	32	8	[0, 1, 2, 5, 6, 7, 8, 9]
223	-1.1096702528937248	0	64	8	[0, 1, 2, 5, 6, 7, 8, 9]
224	-1.1570065052194654	0	128	8	[0, 1, 2, 5, 6, 7, 8, 9]
225	-1.1623314502113375	0	256	8	[0, 1, 2, 5, 6, 7, 8, 9]
226	-1.0782037729993401	0	512	8	[0, 1, 2, 5, 6, 7, 8, 9]
227	-0.7313579893036871	0	1000	8	[0, 1, 2, 5, 6, 7, 8, 9]
228	0.14494232039046653	0	3000	8	[0, 1, 2, 5, 6, 7, 8, 9]
229	0.7647480323121756	1	13000	8	[0, 1, 2, 5, 6, 7, 8, 9]
230	0.8757244955883893	1	23000	8	[0, 1, 2, 5, 6, 7, 8, 9]
231	0.882144781099055	2	33000	8	[0, 1, 2, 5, 6, 7, 8, 9]
232	0.9409112086003267	2	43000	8	[0, 1, 2, 5, 6, 7, 8, 9]
233	0.9563999619678712	2	53000	8	[0, 1, 2, 5, 6, 7, 8, 9]
234	1.0299168135526524	2	63000	8	[0, 1, 2, 5, 6, 7, 8, 9]
235	0.9920205668761759	3	73000	8	[0, 1, 2, 5, 6, 7, 8, 9]
236	1.0762129638882867	3	83000	8	[0, 1, 2, 5, 6, 7, 8, 9]
237	1.0834773297041893	3	93000	8	[0, 1, 2, 5, 6, 7, 8, 9]
238	1.1224885370031745	3	103000	8	[0, 1, 2, 5, 6, 7, 8, 9]
239	1.083206585957922	4	113000	8	[0, 1, 2, 5, 6, 7, 8, 9]
240	1.094983077393125	4	123000	8	[0, 1, 2, 5, 6, 7, 8, 9]
241	1.132424066825185	4	133000	8	[0, 1, 2, 5, 6, 7, 8, 9]
242	1.1059676597821817	4	143000	8	[0, 1, 2, 5, 6, 7, 8, 9]
243	-1.1848599788718217	0	0	9	[0, 1, 2, 5, 6, 7, 8, 9]
244	-1.1817128926171117	0	1	9	[0, 1, 2, 5, 6, 7, 8, 9]
245	-1.1736636646181478	0	2	9	[0, 1, 2, 5, 6, 7, 8, 9]
246	-1.1831111546394295	0	4	9	[0, 1, 2, 5, 6, 7, 8, 9]
247	-1.188033838759576	0	8	9	[0, 1, 2, 5, 6, 7, 8, 9]
248	-1.182688457617439	0	16	9	[0, 1, 2, 5, 6, 7, 8, 9]
249	-1.1278163966724677	0	32	9	[0, 1, 2, 5, 6, 7, 8, 9]
250	-1.0681950455290252	0	64	9	[0, 1, 2, 5, 6, 7, 8, 9]
251	-1.1013117308199492	0	128	9	[0, 1, 2, 5, 6, 7, 8, 9]
252	-1.1237146836280576	0	256	9	[0, 1, 2, 5, 6, 7, 8, 9]
253	-1.0533508715386906	0	512	9	[0, 1, 2, 5, 6, 7, 8, 9]
254	-0.748075122070439	0	1000	9	[0, 1, 2, 5, 6, 7, 8, 9]
255	0.19321107911935242	0	3000	9	[0, 1, 2, 5, 6, 7, 8, 9]
256	0.693346344559177	1	13000	9	[0, 1, 2, 5, 6, 7, 8, 9]
257	0.8042271585828811	1	23000	9	[0, 1, 2, 5, 6, 7, 8, 9]
258	0.854052435952187	2	33000	9	[0, 1, 2, 5, 6, 7, 8, 9]
259	0.9277365685929247	2	43000	9	[0, 1, 2, 5, 6, 7, 8, 9]
260	0.9213604790610129	2	53000	9	[0, 1, 2, 5, 6, 7, 8, 9]
261	0.940107050129932	2	63000	9	[0, 1, 2, 5, 6, 7, 8, 9]
262	1.0078437227306183	3	73000	9	[0, 1, 2, 5, 6, 7, 8, 9]
263	0.9908601499355576	3	83000	9	[0, 1, 2, 5, 6, 7, 8, 9]
264	0.963903328756108	3	93000	9	[0, 1, 2, 5, 6, 7, 8, 9]
265	0.9998644379306397	3	103000	9	[0, 1, 2, 5, 6, 7, 8, 9]
266	1.025161090732163	4	113000	9	[0, 1, 2, 5, 6, 7, 8, 9]
267	1.0070648320991415	4	123000	9	[0, 1, 2, 5, 6, 7, 8, 9]
268	1.0082774363922093	4	133000	9	[0, 1, 2, 5, 6, 7, 8, 9]
269	1.0156336281986917	4	143000	9	[0, 1, 2, 5, 6, 7, 8, 9]
