seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	0	35460.98868164062	23.909667835235595	814.9235018614479	-3.0821481686871266e-06	2.086162567138672e-06	0.0006816594977863133	0.0	0.0	0.0	-0.12065335035324097	1.5400929188728332	-0.07523980881874957	1.0180824148654937	0.06752078764140607
0	1	35460.98868164062	23.909667835235595	814.9235018614479	-3.0821481686871266e-06	2.086162567138672e-06	0.0006816594977863133	0.0	0.0	0.0	-0.12065335035324097	1.5400929188728332	-0.07523980881874957	1.0180824148654937	0.06752078764140607
0	2	35460.989853515624	23.90966781616211	814.9235929544883	-3.0820967822364764e-06	2.086162567138672e-06	0.0006816594977863133	-2.8025911452678187e-11	-0.0	3.133811569619449e-13	-0.12065253019332886	1.5400928616523744	-0.07523974143252893	1.0180824017524719	0.06752079576253892
0	4	35460.97194335938	23.90966781616211	814.9233093702519	-3.081822569583892e-06	2.0265579223632812e-06	0.0006816594977863133	-3.570069795344466e-09	0.0	1.2510707747548366e-11	-0.12064475297927857	1.5400928854942322	-0.07523224990118597	1.0180823957920075	0.06752079963684082
0	8	35460.693740234376	23.909651145935058	814.9223391850679	-3.0802393666817807e-06	2.086162567138672e-06	0.0006816574605181813	-1.555438089440031e-08	0.0	2.9640637166927775e-10	-0.12066937685012817	1.5400913405418395	-0.07526797592372882	1.018081625699997	0.06752073638141155
0	16	35460.70091796875	23.909562358856203	814.9210614109629	-3.0508870167977875e-06	1.9669532775878906e-06	0.0006816494278609753	-4.096310135537351e-08	0.0	5.446374018447386e-09	-0.12079382181167603	1.5400839614868165	-0.07542246115443177	1.0180772578716277	0.06752020381391048
0	32	35459.88787109375	23.909301223754884	814.919661954997	-2.86376734948135e-06	1.3113021850585938e-06	0.0006816199165768921	1.3816386399412295e-06	5.960464477539063e-08	6.120129825148979e-08	-0.12205686330795289	1.5401190686225892	-0.07668079013557631	1.0180657601356506	0.06752067506313324
0	64	35461.53423828125	23.912409362792967	814.9267463107508	-2.8981216928514186e-06	8.344650268554688e-07	0.0006816298700869083	4.600713964464376e-06	2.980232238769531e-07	2.186030343409584e-07	-0.12293694496154785	1.5407690143585204	-0.07753954542181953	1.0181777167320252	0.06757296442985535
0	128	35492.37865234375	23.94994146347046	814.9263424814862	-2.0756629055540543e-06	0.0	0.000682748039253056	-1.0032345016952604e-05	-1.3232231140136719e-05	1.5735125771243474e-06	-0.12728452444076538	1.581335825920105	-0.07719033969219055	1.0195881593227387	0.0682056799530983
0	256	35588.02073242187	24.04100284576416	814.8799371836186	-1.1993935231657815e-06	3.2782554626464844e-06	0.0006864767638035119	-7.162937254179269e-05	-7.49826431274414e-05	1.2765632163791452e-05	-0.12731342315673827	1.884149796962738	-0.06843494213230818	1.0225713014602662	0.07089645721018314
0	512	35836.60216796875	24.209570178985597	814.53835889355	2.271720660473875e-07	2.682209014892578e-06	0.0006974240532144904	-0.0004294240497983992	-0.00042939186096191406	0.00012859402340836823	-0.14180508613586426	2.2988970112800597	-0.07567699352740874	1.0274238038063048	0.07969718590378762
0	1000	37253.58330078125	25.01701519012451	812.1255971714819	1.63345293913153e-06	4.410743713378906e-06	0.0007611398468725383	-0.0018701829249039292	-0.0016908645629882812	0.001816912554204464	-0.13503603219985963	3.116649489402771	-0.05911554371709932	1.051784439086914	0.12266718089580536
0	2000	45761.239501953125	29.67105457305908	809.0254130003683	-4.206022197195125e-07	2.9802322387695312e-06	0.001158850733190775	-0.004423240665346384	-0.004810333251953125	0.02209482342004776	-0.11368688106536866	4.851476302146912	-0.05996246140597825	1.2171914792060852	0.36034012481570243
0	3000	52927.37255859375	33.57037895202637	808.6085468294292	-8.992021776066395e-07	2.1457672119140625e-06	0.0015457416884601116	-0.0058272164314985275	-0.006435394287109375	0.05179860070347786	-0.11958877086639404	5.614296460151673	-0.05784536350006185	1.3643673419952393	0.5783243586122989
0	4000	58241.46619140625	36.545809211730955	808.3020472703834	2.440476691845106e-06	6.973743438720703e-06	0.0018675749888643622	-0.007052136119455099	-0.007587432861328125	0.09054382145404816	-0.12760500431060792	6.052710609436035	-0.06378052064763674	1.480207952260971	0.7430389411747456
0	5000	62279.9404296875	38.89064212799072	807.8885497501313	8.8626738943276e-06	1.1622905731201172e-05	0.0021350739989429712	-0.008153445087373257	-0.00868988037109375	0.14034242928028107	-0.13538434982299805	6.361756176948547	-0.05860440749450377	1.5735577392578124	0.8617249092459679
0	6000	65006.64962890625	40.77652774810791	806.0022682137966	1.6769692592788488e-05	1.9788742065429688e-05	0.0023570607881993055	-0.009197324514389038	-0.009521484375	0.19941191375255585	-0.130496666431427	6.5966702079772945	-0.053284155447638405	1.6496298611164093	0.9462707370519639
0	7000	67289.179375	42.32540073394775	804.8651609077849	2.4775630663498305e-05	2.6285648345947266e-05	0.0025416489224880934	-0.010228835046291351	-0.01044464111328125	0.2697383165359497	-0.09459423780441284	6.7677815151214595	-0.04021587820215186	1.7128002750873565	1.0042241537570953
0	8000	69153.55669921875	43.59768772125244	804.0432696711702	3.2453353924211115e-05	2.7179718017578125e-05	0.0026945287827402353	-0.011180214583873749	-0.011199951171875	0.35261833667755127	-0.0987620210647583	6.9019797706604	-0.04083420740687803	1.7650473761558532	1.044003199338913
