seed	step	L1	L2	L1/L2	mu_w	median_w	sigma_w	mu_b	median_b	sigma_b	trace	lambda_max	trace/lambda	mu_lambda	sigma_lambda
0	0	306.3502995967865	13.871398624032736	22.057861534688314	-0.03961106017231941	-0.00016007288650143892	0.4985060393810272	-9.844438318395987e-05	-1.743206667015329e-05	1.2220278222230263e-05	-0.03174168660189025	13.871399577707052	-0.006132039136699268	13.871399577707052	
0	1	306.3502995967865	13.871398624032736	22.057861534688314	-0.03961106017231941	-0.00016007288650143892	0.4985060393810272	-9.844438318395987e-05	-1.743206667015329e-05	1.2220278222230263e-05	-0.03174168660189025	13.871399577707052	-0.006132039136699268	13.871399577707052	
0	2	306.35045170783997	13.871398616582155	22.05785857340432	-0.03961097076535225	-0.00016007864905986935	0.4985060393810272	-9.844477608567104e-05	-1.7441236195736565e-05	1.2220279131724965e-05	-0.031743406696477905	13.871403383091092	-0.006132076662329141	13.871403383091092	
0	4	306.34996488690376	13.87138338945806	22.057873769326378	-0.03961033746600151	-0.00016006463556550443	0.4985049068927765	-9.844329179031774e-05	-1.7477916117059067e-05	1.2220350981806405e-05	-0.031698680119006895	13.871384341269732	-0.006128621633975318	13.871384341269732	
0	8	306.3498449623585	13.871332896873355	22.057936649654614	-0.03961095213890076	-0.00016024358046706766	0.49850133061408997	-9.843787847785279e-05	-1.8541630197432823e-05	1.2221383258292917e-05	-0.03148073799093254	13.871330035850406	-0.006113652466860296	13.871330035850406	
0	16	306.34770438075066	13.871429858729243	22.05785087268203	-0.039604488760232925	-0.000159987059305422	0.49850884079933167	-9.84605067060329e-05	-2.0751585907419212e-05	1.2224248166603502e-05	-0.031244032477843575	13.871433673426509	-0.006099678303206763	13.871433673426509	
0	32	306.3273530602455	13.87042398750782	22.058697067543033	-0.03958878666162491	-0.00016206171130761504	0.49843743443489075	-9.852985385805368e-05	-3.243409810238518e-05	1.2227028491906822e-05	-0.03031787545478437	13.870424941182137	-0.0060429975902881955	13.870424941182137	
0	64	306.12055268883705	13.870731510221958	22.04825522637969	-0.039575979113578796	-0.00017367120017297566	0.4984610080718994	-9.880994184641168e-05	-2.4364544515265152e-05	1.2243798664712813e-05	-0.030999589653220028	13.870733415707946	-0.006150350449714409	13.870733415707946	
0	128	305.87120893597603	13.870016442611814	22.041211046269066	-0.039405032992362976	-0.00017539510736241937	0.4984228014945984	-9.938884613802657e-05	-1.6826848877826706e-05	1.2413228432706092e-05	-0.050181086611701176	13.87001739628613	-0.007809055296452242	13.87001739628613	
0	256	305.96172320842743	13.862636728212237	22.086844032924045	-0.039339885115623474	-0.00018128586816601455	0.49789464473724365	-0.00010565772390691563	-0.0001848294195951894	1.3162112736608833e-05	-0.031553151755360886	13.862635774537921	-0.006399410477415819	13.862635774537921	
0	512	304.77236899733543	13.795654555782676	22.099338171488707	-0.038871344178915024	-0.0001730946241877973	0.4931052327156067	-0.00012051421799696982	-4.474245724850334e-05	1.7316255252808332e-05	-0.17923358210828155	13.795654555782676	-0.01630801655436108	13.795654555782676	
0	1000	279.05933824181557	12.595685739070177	22.116025048590462	-0.031013982370495796	-0.00019383549806661904	0.41112616658210754	-0.00010217097587883472	-2.258786844322458e-05	3.291193934273906e-05	-0.16809653246309608	12.595685740932822	-0.014943771826500233	12.595685740932822	
0	2000	173.29382574558258	7.745094362646341	22.35369374538667	-0.015487786382436752	-0.00021280249347910285	0.15470634400844574	-0.00012616031744983047	-0.0006051200907677412	8.591983350925148e-05	0.2710688761435449	7.74509197846055	0.0375803763300354	7.74509197846055	
0	3000	127.8969521522522	5.7487264685332775	22.2112454530696	-0.008769466541707516	-3.797149838646874e-05	0.08466605097055435	-0.00010630374890752137	-0.0004637424717657268	0.00013251898053567857	0.2842576955445111	5.748727418482304	0.0461233719663247	5.748727418482304	
0	4000	104.66149187088013	4.749062545597553	22.04192049372781	-0.006957101169973612	-0.00013297045370563865	0.05733029916882515	-0.00010649295290932059	-0.0004828113887924701	0.00017066502186935395	0.27233521128073335	4.74906350299716	0.049341274293879876	4.74906350299716	
0	5000	93.62672889232635	4.250681392848492	22.0846903278038	-0.006423827726393938	-8.452864130958915e-05	0.04562794417142868	-0.00010517481860006228	-0.00040724643622525036	0.00020267396757844836	0.20647172792814672	4.250681392848492	0.03748733849336074	4.250681392848492	
0	6000	86.031813621521	3.8631565123796463	22.229034528117843	-0.005193785298615694	4.154191992711276e-05	0.037442222237586975	-9.773320198291913e-05	-6.240950460778549e-05	0.00022918502509128302	0.1790102464146912	3.8631572276353836	0.036834027118928706	3.8631572276353836	
0	7000	80.7423187494278	3.6398441791534424	22.255465662859045	-0.0043585821986198425	0.0002354560128878802	0.033085811883211136	-0.00010603887494653463	-0.0002504312142264098	0.00024718191707506776	0.18875876674428582	3.6398448944091797	0.039694946246657606	3.6398448944091797	
0	8000	79.46270024776459	3.5660536661744118	22.289711103938593	-0.004087170585989952	0.0003213831805624068	0.031677793711423874	-9.41248144954443e-05	-0.0007464748341590166	0.0002650487585924566	0.12080081657040864	3.566053420305252	0.022159252055965185	3.566053420305252	
0	9000	77.66752684116364	3.4886933267116547	22.282110593618828	-0.004090758506208658	-3.276835195720196e-05	0.030254105105996132	-9.408630285179242e-05	-0.00038818211760371923	0.0002797854249365628	0.1463446972775273	3.4886926040053368	0.023935588368589552	3.4886926040053368	
