model,checkpoint,task,fewshot,acc,acc_stderr
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_0,16,1.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_1,16,0.06,0.0339266916772512
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_2,16,0.02,0.019999999999999993
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_3,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_4,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_5,16,0.02,0.02
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_6,16,0.02,0.02
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_7,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_8,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_9,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_10,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_11,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_12,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_13,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_14,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_15,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_16,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_17,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_18,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_19,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_20,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_21,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_22,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_23,16,0.02,0.019999999999999993
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_24,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_25,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_26,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_27,16,0.02,0.01999999999999999
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_28,16,0.02,0.01999999999999999
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_29,16,0.02,0.01999999999999999
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_30,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_31,16,0.02,0.01999999999999999
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_32,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_33,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_34,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_35,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_36,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_37,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_38,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_39,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_40,16,0.02,0.01999999999999998
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_41,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_42,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_43,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_44,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_45,16,0.02,0.01999999999999998
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_46,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_47,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_48,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_49,16,0.02,0.01999999999999998
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_50,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_51,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_52,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_53,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_54,16,0.02,0.019999999999999976
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_55,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_56,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_57,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_58,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_59,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_60,16,0.02,0.019999999999999983
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_61,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_62,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_63,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_64,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_65,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_66,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_67,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_68,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_69,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_70,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_71,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_72,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_73,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_74,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_75,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_76,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_77,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_78,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_79,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_80,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_81,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_82,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_83,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_84,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_85,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_86,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_87,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_88,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_89,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_90,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_91,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_92,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_93,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_94,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_95,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_96,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_97,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_98,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_multiplication_99,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_0,16,0.08,0.038756171332144394
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_1,16,0.06,0.0339266916772512
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_2,16,0.02,0.019999999999999983
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_3,16,0.08,0.038756171332144394
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_4,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_5,16,0.02,0.019999999999999983
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_6,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_7,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_8,16,0.02,0.02
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_9,16,0.06,0.0339266916772512
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_10,16,0.04,0.02799416848895062
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_11,16,0.04,0.027994168488950612
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_12,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_13,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_14,16,0.02,0.01999999999999999
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_15,16,0.02,0.019999999999999983
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_16,16,0.04,0.02799416848895062
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_17,16,0.02,0.01999999999999998
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_18,16,0.02,0.019999999999999987
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_19,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_20,16,0.04,0.027994168488950623
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_21,16,0.04,0.027994168488950623
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_22,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_23,16,0.02,0.019999999999999993
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_24,16,0.06,0.033926691677251195
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_25,16,0.02,0.02
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_26,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_27,16,0.0,0.0
EleutherAI/pythia-v1.1-12b-deduped,13000,num_reasoning_arithmetic_addition_28,16,0.02,0.019999999999999987
