train/lm_loss	step
2.2509543895721436	73001
2.221917152404785	73002
2.252904176712036	73003
2.252929210662842	73004
2.2578582763671875	73005
2.231464385986328	73006
2.2328219413757324	73007
2.258840560913086	73008
2.231076717376709	73009
2.2035086154937744	73010
2.2141313552856445	73011
2.2336463928222656	73012
2.2273731231689453	73013
2.2449076175689697	73014
2.2573766708374023	73015
2.2384591102600098	73016
2.2811148166656494	73017
2.2367100715637207	73018
2.2322864532470703	73019
2.2111897468566895	73020
2.2296252250671387	73021
2.2687926292419434	73022
2.2434616088867188	73023
2.2385945320129395	73024
2.247023820877075	73025
2.2053232192993164	73026
2.221470832824707	73027
2.2208001613616943	73028
2.253134250640869	73029
2.2455077171325684	73030
2.226233959197998	73031
2.258542776107788	73032
2.2369167804718018	73033
2.230376958847046	73034
2.210634469985962	73035
2.222092628479004	73036
2.2362747192382812	73037
2.2271463871002197	73038
2.209866523742676	73039
2.2645277976989746	73040
2.2188711166381836	73041
2.2269861698150635	73042
2.239633083343506	73043
2.248901844024658	73044
2.2612717151641846	73045
2.241515636444092	73046
2.2191574573516846	73047
2.2036900520324707	73048
2.237128973007202	73049
2.2259209156036377	73050
2.2568435668945312	73051
2.2510898113250732	73052
2.2229504585266113	73053
2.2259809970855713	73054
2.234792709350586	73055
2.2517499923706055	73056
2.2334225177764893	73057
2.252991199493408	73058
2.223968029022217	73059
2.2285614013671875	73060
2.2182915210723877	73061
2.202974319458008	73062
2.2350316047668457	73063
2.201662063598633	73064
2.2267074584960938	73065
2.2526426315307617	73066
2.2443044185638428	73067
2.2238028049468994	73068
2.2223193645477295	73069
2.2623989582061768	73070
2.2527904510498047	73071
2.2008986473083496	73072
2.217799663543701	73073
2.2708375453948975	73074
2.229976177215576	73075
2.2085447311401367	73076
2.232999801635742	73077
2.1908812522888184	73078
2.236551284790039	73079
2.237061023712158	73080
2.3038501739501953	73081
2.2445027828216553	73082
2.234042167663574	73083
2.1999638080596924	73084
2.1891121864318848	73085
2.210174083709717	73086
2.209399938583374	73087
2.2039730548858643	73088
2.214354991912842	73089
2.2190585136413574	73090
2.234311580657959	73091
2.2297987937927246	73092
2.227362632751465	73093
2.2371129989624023	73094
2.2104578018188477	73095
2.2143025398254395	73096
2.27547287940979	73097
2.2400619983673096	73098
2.2279648780822754	73099
2.244161605834961	73100
2.226520538330078	73101
2.2183914184570312	73102
2.2505035400390625	73103
2.219071865081787	73104
2.2308220863342285	73105
2.240895986557007	73106
2.2083981037139893	73107
2.2543087005615234	73108
2.226372480392456	73109
2.2245383262634277	73110
2.2335164546966553	73111
2.2861905097961426	73112
2.214076042175293	73113
2.265002965927124	73114
2.220045566558838	73115
2.1905317306518555	73116
2.1763014793395996	73117
2.248063564300537	73118
2.2505135536193848	73119
2.2438971996307373	73120
2.2409415245056152	73121
2.1959776878356934	73122
2.239192485809326	73123
2.2670416831970215	73124
2.2289631366729736	73125
2.264155387878418	73126
2.244302272796631	73127
2.2305448055267334	73128
2.18869948387146	73129
2.223721504211426	73130
2.225938081741333	73131
2.1839661598205566	73132
2.240616798400879	73133
2.248983144760132	73134
2.203826427459717	73135
2.257904052734375	73136
2.2140374183654785	73137
2.244020938873291	73138
2.243497371673584	73139
2.247298240661621	73140
2.203188419342041	73141
2.2428152561187744	73142
2.2066750526428223	73143
2.1997108459472656	73144
2.219775676727295	73145
2.2520973682403564	73146
2.259472131729126	73147
2.207425117492676	73148
2.220217227935791	73149
2.222019910812378	73150
2.249619483947754	73151
2.1976075172424316	73152
2.2700538635253906	73153
2.1873738765716553	73154
2.2151622772216797	73155
2.221578598022461	73156
2.207587718963623	73157
2.2082808017730713	73158
2.220212459564209	73159
2.2284281253814697	73160
2.2374038696289062	73161
2.2147650718688965	73162
2.275491952896118	73163
2.229309320449829	73164
2.2161052227020264	73165
2.193798065185547	73166
2.2216885089874268	73167
2.212752342224121	73168
2.270386219024658	73169
2.193756580352783	73170
2.219686508178711	73171
2.2289724349975586	73172
2.2606935501098633	73173
2.2568359375	73174
2.2048349380493164	73175
2.21840500831604	73176
2.231254816055298	73177
2.22407865524292	73178
2.2296133041381836	73179
2.2514843940734863	73180
2.218700647354126	73181
2.2529287338256836	73182
2.2369604110717773	73183
2.2105355262756348	73184
2.242851972579956	73185
2.22418475151062	73186
2.247835159301758	73187
2.193800926208496	73188
2.2719173431396484	73189
2.2034974098205566	73190
2.220529556274414	73191
2.2335801124572754	73192
2.2497522830963135	73193
2.221893787384033	73194
2.218059539794922	73195
2.2597053050994873	73196
2.253939628601074	73197
2.2240524291992188	73198
2.23934268951416	73199
2.2111682891845703	73200
2.2395412921905518	73201
2.2321012020111084	73202
2.2361226081848145	73203
2.2456459999084473	73204
2.236248731613159	73205
2.206599235534668	73206
2.208301067352295	73207
2.2351808547973633	73208
2.24955415725708	73209
2.2024776935577393	73210
2.257061004638672	73211
2.233016014099121	73212
2.2275495529174805	73213
2.262625217437744	73214
2.2236459255218506	73215
2.1972224712371826	73216
2.1939945220947266	73217
2.196641445159912	73218
2.1979923248291016	73219
2.217289447784424	73220
2.246469497680664	73221
2.2471554279327393	73222
2.239668607711792	73223
2.2132651805877686	73224
2.2458701133728027	73225
2.2210230827331543	73226
2.221186876296997	73227
2.239140510559082	73228
2.2242040634155273	73229
2.225929021835327	73230
2.209001302719116	73231
2.224849224090576	73232
2.290722608566284	73233
2.2298479080200195	73234
2.2648367881774902	73235
2.2323739528656006	73236
2.247537612915039	73237
2.22683048248291	73238
2.2672855854034424	73239
2.2111318111419678	73240
2.2416419982910156	73241
2.2143752574920654	73242
2.2012178897857666	73243
2.2545793056488037	73244
2.171747922897339	73245
2.2073299884796143	73246
2.2507548332214355	73247
2.23791766166687	73248
2.2600996494293213	73249
2.225886821746826	73250
2.233424186706543	73251
2.2262024879455566	73252
2.2478415966033936	73253
2.2162599563598633	73254
2.2299132347106934	73255
2.243112802505493	73256
2.249772071838379	73257
2.2450947761535645	73258
2.2397468090057373	73259
2.2456579208374023	73260
2.261678695678711	73261
2.2583518028259277	73262
2.2306618690490723	73263
2.212703227996826	73264
2.271517038345337	73265
2.2232189178466797	73266
2.2494688034057617	73267
2.2556068897247314	73268
2.2157461643218994	73269
2.2611074447631836	73270
2.243408203125	73271
2.234605073928833	73272
2.2286949157714844	73273
2.214547634124756	73274
2.2184841632843018	73275
2.2270355224609375	73276
2.2709896564483643	73277
2.237488031387329	73278
2.2164528369903564	73279
2.2391414642333984	73280
2.218132495880127	73281
2.2373898029327393	73282
2.218717575073242	73283
2.225944757461548	73284
2.218785524368286	73285
2.1797780990600586	73286
2.2476296424865723	73287
2.236802339553833	73288
2.2627954483032227	73289
2.218942880630493	73290
2.196903705596924	73291
2.2480695247650146	73292
2.211695432662964	73293
