train/lm_loss	step
11.031145095825195	1
11.031736373901367	2
11.034242630004883	3
11.02750015258789	4
11.02031135559082	5
10.99720573425293	6
10.952107429504395	7
10.925540924072266	8
10.891654968261719	9
10.829697608947754	10
10.796666145324707	11
10.760469436645508	12
10.693974494934082	13
10.638663291931152	14
10.588212966918945	15
