train/lm_loss	step
3.1981754302978516	95001
3.183828592300415	95002
3.176574945449829	95003
3.1343770027160645	95004
3.1708478927612305	95005
3.125591993331909	95006
3.149235248565674	95007
3.1281485557556152	95008
3.2082247734069824	95009
3.1678476333618164	95010
3.1802573204040527	95011
3.1812691688537598	95012
3.1648263931274414	95013
3.107937812805176	95014
3.1631386280059814	95015
3.106935977935791	95016
3.1797094345092773	95017
3.1533243656158447	95018
3.1152591705322266	95019
3.1749603748321533	95020
3.1401665210723877	95021
3.142045736312866	95022
3.147080183029175	95023
3.11330509185791	95024
3.1702771186828613	95025
3.171109199523926	95026
3.1792449951171875	95027
3.1445486545562744	95028
3.186652660369873	95029
3.161928653717041	95030
3.151839017868042	95031
3.1617209911346436	95032
3.155569076538086	95033
3.1499199867248535	95034
3.211071491241455	95035
3.1879091262817383	95036
3.1364879608154297	95037
3.1662302017211914	95038
3.211066484451294	95039
3.1856801509857178	95040
3.1593360900878906	95041
3.1575417518615723	95042
3.1514153480529785	95043
3.2019219398498535	95044
3.1612820625305176	95045
3.152773380279541	95046
3.128080368041992	95047
3.130911350250244	95048
3.173981189727783	95049
3.2057530879974365	95050
3.1770458221435547	95051
3.1469509601593018	95052
3.1431562900543213	95053
3.189708948135376	95054
3.162780523300171	95055
3.1575167179107666	95056
3.1917710304260254	95057
3.163344383239746	95058
3.167717456817627	95059
3.192099094390869	95060
3.1884429454803467	95061
3.1411819458007812	95062
3.2048470973968506	95063
3.1949353218078613	95064
3.167245626449585	95065
3.1623876094818115	95066
3.1939773559570312	95067
3.1710329055786133	95068
3.1759612560272217	95069
3.189659595489502	95070
3.173665761947632	95071
3.183326244354248	95072
3.1846494674682617	95073
3.129892349243164	95074
3.2119970321655273	95075
3.1634316444396973	95076
3.1910390853881836	95077
3.1959166526794434	95078
3.1768102645874023	95079
3.1940722465515137	95080
3.1327080726623535	95081
3.1733663082122803	95082
3.205883502960205	95083
3.141836166381836	95084
3.1539602279663086	95085
3.151379346847534	95086
3.1499557495117188	95087
3.1577842235565186	95088
3.1630187034606934	95089
3.1844096183776855	95090
3.145986318588257	95091
3.2051939964294434	95092
3.1285505294799805	95093
3.1621949672698975	95094
3.2105493545532227	95095
3.1180365085601807	95096
3.174802780151367	95097
3.2225492000579834	95098
3.1947460174560547	95099
3.1565890312194824	95100
3.145972967147827	95101
3.186748504638672	95102
3.188046932220459	95103
3.142935276031494	95104
3.1569623947143555	95105
3.1657912731170654	95106
3.159541606903076	95107
3.1837925910949707	95108
3.110504150390625	95109
3.2011091709136963	95110
3.114919662475586	95111
3.169015884399414	95112
3.1721601486206055	95113
3.2111072540283203	95114
3.1729180812835693	95115
3.210465908050537	95116
3.171898603439331	95117
3.1732242107391357	95118
3.1803295612335205	95119
3.1198880672454834	95120
3.1524899005889893	95121
3.1903765201568604	95122
3.070885181427002	95123
3.145928382873535	95124
3.160972833633423	95125
3.1199898719787598	95126
3.1476309299468994	95127
3.165766477584839	95128
3.2086620330810547	95129
3.1530399322509766	95130
3.2109642028808594	95131
3.1706056594848633	95132
3.179675579071045	95133
3.161086082458496	95134
3.1526126861572266	95135
3.1555323600769043	95136
3.0858516693115234	95137
3.156543016433716	95138
3.152200698852539	95139
3.1552889347076416	95140
3.130568504333496	95141
3.1343023777008057	95142
3.1441192626953125	95143
3.212446451187134	95144
3.160794258117676	95145
3.177604913711548	95146
3.172917604446411	95147
3.14336895942688	95148
3.1785144805908203	95149
3.214094877243042	95150
3.1147780418395996	95151
3.193002700805664	95152
3.142148494720459	95153
3.1615731716156006	95154
3.192591428756714	95155
3.1255664825439453	95156
3.136922597885132	95157
3.155303716659546	95158
3.1106796264648438	95159
3.168195962905884	95160
3.106224536895752	95161
3.162222385406494	95162
3.175534248352051	95163
3.1096107959747314	95164
3.168283700942993	95165
3.1763389110565186	95166
3.126354932785034	95167
3.2007741928100586	95168
3.1815717220306396	95169
3.188258171081543	95170
3.1280808448791504	95171
3.1272120475769043	95172
3.165079355239868	95173
3.1529457569122314	95174
3.1926984786987305	95175
3.1571638584136963	95176
3.164750099182129	95177
3.170384168624878	95178
3.147493600845337	95179
3.169851779937744	95180
3.140245199203491	95181
3.187976121902466	95182
3.1080474853515625	95183
3.0986146926879883	95184
3.169358968734741	95185
3.152348518371582	95186
3.199542284011841	95187
3.187594175338745	95188
3.201855182647705	95189
3.161642074584961	95190
3.1588101387023926	95191
3.181562662124634	95192
3.195028305053711	95193
3.158689498901367	95194
3.146416664123535	95195
3.172203302383423	95196
3.1590301990509033	95197
3.190695285797119	95198
3.1259098052978516	95199
3.163999080657959	95200
3.1598880290985107	95201
3.17976975440979	95202
3.2276811599731445	95203
3.161912679672241	95204
3.1250948905944824	95205
3.16902494430542	95206
3.1367993354797363	95207
3.20664119720459	95208
3.099311590194702	95209
3.1715307235717773	95210
3.1472511291503906	95211
3.118777275085449	95212
3.144385814666748	95213
3.155062198638916	95214
3.1782217025756836	95215
3.1869959831237793	95216
3.1920359134674072	95217
3.1907291412353516	95218
3.2028861045837402	95219
3.199598550796509	95220
3.1948750019073486	95221
3.1340010166168213	95222
3.203298807144165	95223
3.1387195587158203	95224
3.119722366333008	95225
3.204312324523926	95226
3.1633429527282715	95227
3.145205020904541	95228
3.1401138305664062	95229
3.1994779109954834	95230
3.175055742263794	95231
3.1628355979919434	95232
3.1498820781707764	95233
3.115734100341797	95234
3.183637857437134	95235
3.1479575634002686	95236
3.190946102142334	95237
3.194424629211426	95238
3.180572986602783	95239
3.123771905899048	95240
3.179837465286255	95241
3.1759581565856934	95242
3.1611039638519287	95243
3.109264373779297	95244
3.16127347946167	95245
3.141202926635742	95246
3.1378798484802246	95247
3.1899876594543457	95248
3.167942523956299	95249
3.1106631755828857	95250
3.144911289215088	95251
3.1433520317077637	95252
3.163421154022217	95253
3.1539173126220703	95254
3.197627305984497	95255
3.0934653282165527	95256
3.1627540588378906	95257
3.1446969509124756	95258
3.1793107986450195	95259
3.2005538940429688	95260
3.1582682132720947	95261
3.140726089477539	95262
3.153491497039795	95263
3.1802611351013184	95264
3.1788218021392822	95265
3.1548011302948	95266
3.124239683151245	95267
3.1698782444000244	95268
3.1532387733459473	95269
3.138441801071167	95270
3.166510581970215	95271
3.1859188079833984	95272
3.1493077278137207	95273
3.1576666831970215	95274
3.192631721496582	95275
3.1362860202789307	95276
3.2014901638031006	95277
3.144350051879883	95278
3.1368722915649414	95279
3.128798723220825	95280
3.164849042892456	95281
3.152851104736328	95282
3.164630889892578	95283
3.126317024230957	95284
3.126829147338867	95285
3.1410651206970215	95286
3.22617244720459	95287
3.1441164016723633	95288
3.192983865737915	95289
3.163555860519409	95290
3.1833972930908203	95291
3.1432676315307617	95292
3.192009925842285	95293
3.1782374382019043	95294
3.1316630840301514	95295
3.147794246673584	95296
3.1418728828430176	95297
3.184375047683716	95298
3.1409623622894287	95299
3.1310930252075195	95300
3.125554084777832	95301
3.1715636253356934	95302
3.179670810699463	95303
3.1588449478149414	95304
3.1608924865722656	95305
3.1515297889709473	95306
3.1604256629943848	95307
3.1249728202819824	95308
3.1496987342834473	95309
3.1380391120910645	95310
3.161604166030884	95311
