train/lm_loss	step
7.328305721282959	129
7.339754104614258	130
7.317452430725098	131
7.293100357055664	132
7.241494178771973	133
7.223132610321045	134
7.226105690002441	135
7.202653884887695	136
7.175756454467773	137
7.158316612243652	138
7.18760871887207	139
7.138098239898682	140
7.129271984100342	141
7.118359565734863	142
7.106744766235352	143
7.069626808166504	144
7.05745792388916	145
7.0260467529296875	146
7.037507057189941	147
7.070383548736572	148
7.054174423217773	149
7.012009143829346	150
6.979837417602539	151
6.976637363433838	152
6.998603820800781	153
6.953422546386719	154
6.941117763519287	155
6.94162654876709	156
6.905352592468262	157
6.8797831535339355	158
6.936647891998291	159
6.898728370666504	160
6.843784332275391	161
6.886160850524902	162
6.888928413391113	163
6.8424577713012695	164
6.801172733306885	165
6.806530952453613	166
6.853457450866699	167
6.780047416687012	168
6.791433811187744	169
6.773027420043945	170
6.718027114868164	171
6.727841377258301	172
6.772800445556641	173
6.701610565185547	174
6.675074100494385	175
6.677281856536865	176
6.6777825355529785	177
6.692086696624756	178
6.626502990722656	179
6.661850929260254	180
6.607812881469727	181
6.608677387237549	182
6.592684268951416	183
6.604082107543945	184
6.642742156982422	185
6.588498115539551	186
6.572511672973633	187
6.545262336730957	188
6.529229164123535	189
6.554274559020996	190
6.519806385040283	191
6.515368938446045	192
6.476402282714844	193
6.493017196655273	194
6.454989910125732	195
6.473426818847656	196
6.445672988891602	197
6.434934616088867	198
6.439864158630371	199
6.397243499755859	200
6.427331447601318	201
6.446936130523682	202
6.381957530975342	203
6.39255952835083	204
6.364645957946777	205
6.374421119689941	206
6.362634181976318	207
6.332607269287109	208
6.372509479522705	209
6.3382887840271	210
6.3122429847717285	211
6.3366265296936035	212
6.305224418640137	213
6.294787406921387	214
6.287419319152832	215
6.2745280265808105	216
6.279109954833984	217
6.261833667755127	218
6.244403839111328	219
6.237003326416016	220
6.25396728515625	221
6.197536468505859	222
6.193996429443359	223
6.1998090744018555	224
6.164861679077148	225
6.149964809417725	226
6.198695182800293	227
6.187850475311279	228
6.164083480834961	229
6.130247116088867	230
6.129587173461914	231
6.142536163330078	232
6.121128082275391	233
6.132386207580566	234
6.109118938446045	235
6.11077880859375	236
6.079652786254883	237
6.0807576179504395	238
6.107870578765869	239
6.049273490905762	240
6.0531005859375	241
6.057971954345703	242
6.045260906219482	243
6.060266971588135	244
6.050230026245117	245
6.045920372009277	246
6.020835876464844	247
6.031438827514648	248
5.954420566558838	249
5.95964241027832	250
5.966629981994629	251
5.950362205505371	252
5.944387912750244	253
5.935630798339844	254
5.9718475341796875	255
5.9324049949646	256
5.993475914001465	257
5.940930366516113	258
5.944416046142578	259
5.906544208526611	260
5.8867597579956055	261
5.90263032913208	262
5.912924766540527	263
5.89725399017334	264
5.8373703956604	265
5.863958835601807	266
5.890413284301758	267
5.870879650115967	268
