train/lm_loss	step
3.159141778945923	93001
3.199146270751953	93002
3.1959586143493652	93003
3.1628193855285645	93004
3.167909622192383	93005
3.1558823585510254	93006
3.169623851776123	93007
3.187303304672241	93008
3.2132225036621094	93009
3.195953369140625	93010
3.143731117248535	93011
3.172865867614746	93012
3.2033917903900146	93013
3.168823480606079	93014
3.150394916534424	93015
3.137510299682617	93016
3.194908380508423	93017
3.1445512771606445	93018
3.1610991954803467	93019
3.1558825969696045	93020
3.1516993045806885	93021
3.1144285202026367	93022
3.147538661956787	93023
3.189598560333252	93024
3.1637444496154785	93025
3.1183042526245117	93026
3.171389102935791	93027
3.1727724075317383	93028
3.1411099433898926	93029
3.144183397293091	93030
3.153670310974121	93031
3.1811821460723877	93032
3.151362895965576	93033
3.1674747467041016	93034
3.195283889770508	93035
3.182708740234375	93036
3.1814515590667725	93037
3.1758909225463867	93038
3.196643114089966	93039
3.1342873573303223	93040
3.1644158363342285	93041
3.192938804626465	93042
3.143681049346924	93043
3.173619031906128	93044
3.1983706951141357	93045
3.150805950164795	93046
3.174912452697754	93047
3.1507842540740967	93048
3.1794958114624023	93049
3.1525092124938965	93050
3.138518810272217	93051
3.1892919540405273	93052
3.169178009033203	93053
3.188366174697876	93054
3.206604480743408	93055
3.1451148986816406	93056
3.2005276679992676	93057
3.16921329498291	93058
3.2239906787872314	93059
3.175673484802246	93060
3.201289653778076	93061
3.1368582248687744	93062
3.1503427028656006	93063
3.172271728515625	93064
3.1488723754882812	93065
3.149933338165283	93066
3.1550254821777344	93067
3.1825852394104004	93068
3.2027151584625244	93069
3.18112850189209	93070
3.156261444091797	93071
3.143934488296509	93072
3.1656899452209473	93073
3.18820858001709	93074
3.1124019622802734	93075
3.16312575340271	93076
3.1526150703430176	93077
3.148098945617676	93078
3.1488149166107178	93079
3.1351046562194824	93080
3.1697452068328857	93081
3.1251747608184814	93082
3.1250970363616943	93083
3.1751558780670166	93084
3.1710660457611084	93085
3.193319320678711	93086
3.1928255558013916	93087
3.190091371536255	93088
3.165029525756836	93089
3.133974552154541	93090
