"Step","Group: pythia-70m_rk7ayzq3 - train/lm_loss","Group: pythia-70m_rk7ayzq3 - train/lm_loss__MIN","Group: pythia-70m_rk7ayzq3 - train/lm_loss__MAX"
"95001","2.9010934829711914","2.9010934829711914","2.9010934829711914"
"95002","2.9060330390930176","2.9060330390930176","2.9060330390930176"
"95003","2.8993287086486816","2.8993287086486816","2.8993287086486816"
"95004","2.91409969329834","2.91409969329834","2.91409969329834"
"95005","2.8794970512390137","2.8794970512390137","2.8794970512390137"
"95006","2.902125358581543","2.902125358581543","2.902125358581543"
"95007","2.8757243156433105","2.8757243156433105","2.8757243156433105"
"95008","2.8465499877929688","2.8465499877929688","2.8465499877929688"
"95009","2.8567357063293457","2.8567357063293457","2.8567357063293457"
"95010","2.9192850589752197","2.9192850589752197","2.9192850589752197"
"95011","2.853109121322632","2.853109121322632","2.853109121322632"
"95012","2.8907246589660645","2.8907246589660645","2.8907246589660645"
"95013","2.8653180599212646","2.8653180599212646","2.8653180599212646"
"95014","2.859687328338623","2.859687328338623","2.859687328338623"
"95015","2.905951976776123","2.905951976776123","2.905951976776123"
"95016","2.8729138374328613","2.8729138374328613","2.8729138374328613"
"95017","2.861722230911255","2.861722230911255","2.861722230911255"
"95018","2.8598012924194336","2.8598012924194336","2.8598012924194336"
"95019","2.849245071411133","2.849245071411133","2.849245071411133"
"95020","2.8365073204040527","2.8365073204040527","2.8365073204040527"
"95021","2.888380289077759","2.888380289077759","2.888380289077759"
"95022","2.849863290786743","2.849863290786743","2.849863290786743"
"95023","2.936394691467285","2.936394691467285","2.936394691467285"
"95024","2.878253936767578","2.878253936767578","2.878253936767578"
"95025","2.880328893661499","2.880328893661499","2.880328893661499"
"95026","2.8975839614868164","2.8975839614868164","2.8975839614868164"
"95027","2.891819715499878","2.891819715499878","2.891819715499878"
"95028","2.8150906562805176","2.8150906562805176","2.8150906562805176"
"95029","2.882481336593628","2.882481336593628","2.882481336593628"
"95030","2.855970859527588","2.855970859527588","2.855970859527588"
"95031","2.878383159637451","2.878383159637451","2.878383159637451"
